week_end_date,channel,subchannel,spend,impressions
2026-01-11,Paid Search,Google,5000.00,125000
2026-01-11,Paid Search,Bing,1200.00,30000
2026-01-11,Social,Facebook,3500.00,85000
2026-01-11,Social,Instagram,2100.00,52500
2026-01-18,Paid Search,Google,5250.00,131250
2026-01-18,Paid Search,Bing,1150.00,28750
2026-01-18,Social,Facebook,3600.00,90000
2026-01-18,Social,Instagram,2250.00,56250
2026-01-25,Paid Search,Google,4950.00,123750
2026-01-25,Paid Search,Bing,1300.00,32500
2026-01-25,Social,Facebook,3400.00,85000
2026-01-25,Social,Instagram,2050.00,51250
2026-02-01,Paid Search,Google,5500.00,137500
2026-02-01,Paid Search,Bing,1100.00,27500
2026-02-01,Social,Facebook,3800.00,95000
2026-02-01,Social,Instagram,2300.00,57500
2026-02-08,Paid Search,Google,5100.00,127500
2026-02-08,Paid Search,Bing,1250.00,31250
2026-02-08,Social,Facebook,3550.00,88750
2026-02-08,Social,Instagram,2150.00,53750
2026-02-15,Paid Search,Google,5400.00,135000
2026-02-15,Paid Search,Bing,1200.00,30000
2026-02-15,Social,Facebook,3700.00,92500
2026-02-15,Social,Instagram,2200.00,55000
2026-02-22,Paid Search,Google,5600.00,140000
2026-02-22,Paid Search,Bing,1350.00,33750
2026-02-22,Social,Facebook,3900.00,97500
2026-02-22,Social,Instagram,2400.00,60000
2026-03-01,Paid Search,Google,5450.00,136250
2026-03-01,Paid Search,Bing,1280.00,32000
2026-03-01,Social,Facebook,3750.00,93750
2026-03-01,Social,Instagram,2325.00,58125
