date,customer_id,revenue,units
2026-01-05,CUST001,182.45,2
2026-01-06,CUST002,264.10,3
2026-01-07,CUST003,97.35,1
2026-01-08,CUST004,441.80,5
2026-01-09,CUST005,128.90,2
2026-01-10,CUST006,315.55,4
2026-01-11,CUST007,209.40,3
2026-01-12,CUST008,158.25,2
2026-01-13,CUST009,372.60,4
2026-01-14,CUST010,226.15,3
2026-01-15,CUST011,404.75,5
2026-01-16,CUST012,169.30,2
2026-01-17,CUST013,287.95,3
2026-01-18,CUST014,179.20,2
2026-01-19,CUST015,418.65,5
2026-01-20,CUST016,133.85,2
2026-01-21,CUST017,307.50,4
2026-01-22,CUST018,191.45,2
2026-01-23,CUST019,396.10,4
2026-01-24,CUST020,147.75,2
2026-01-25,CUST021,354.90,4
2026-01-26,CUST022,214.35,3
2026-01-27,CUST023,472.80,5
2026-01-28,CUST024,123.60,2
2026-01-29,CUST025,329.25,3
2026-01-30,CUST026,198.70,2
2026-01-31,CUST027,426.15,5
2026-02-01,CUST028,152.40,2
2026-02-02,CUST029,311.85,3
2026-02-03,CUST030,238.20,3
2026-02-04,CUST031,459.65,5
2026-02-05,CUST032,142.30,2
2026-02-06,CUST033,381.75,4
2026-02-07,CUST034,218.10,3
2026-02-08,CUST035,436.55,5
2026-02-09,CUST036,164.90,2
2026-02-10,CUST037,346.35,4
2026-02-11,CUST038,207.80,3
2026-02-12,CUST039,488.25,5
2026-02-13,CUST040,136.60,2
2026-02-14,CUST041,369.05,4
2026-02-15,CUST042,229.50,3
2026-02-16,CUST043,451.95,5
2026-02-17,CUST044,173.40,2
2026-02-18,CUST045,334.85,3
2026-02-19,CUST046,201.30,2
2026-02-20,CUST047,409.75,4
2026-02-21,CUST048,156.20,2
2026-02-22,CUST049,322.65,3
2026-02-23,CUST050,184.10,2
2026-02-24,CUST051,467.55,5
2026-02-25,CUST052,144.90,2
2026-02-26,CUST053,358.35,4
2026-02-27,CUST054,221.80,3
2026-02-28,CUST055,439.25,5
2026-03-01,CUST056,176.70,2
